서비스ID,수혜구분,보조사업여부,서비스명,서비스 목적,법령,행정규칙,자치법규,지원대상,선정기준,지원내용,온라인신청URL,신청절차,신청기한 시작일,신청기한 종료일,신청기한 상세,구비서류,소관기관유형,소관기관명,소관부서명,문의처명,문의처전화번호,문의처사이트URL,서비스분류,생애주기,서비스 대상지역,대상특성 및 가구유형,지원유형,지원형태,대국민표출여부
629000000000 ,수혜적,국고보조사업,광주청년드림 수당 및 활동 지원,,[법률]청년기본법(제17조),없음,없음,○ 광주 거주하는 만19~39세 미취업 청년 중 기준 중위소득(건강보험료 기준) 150% 이하 가구원,해당없음,"○ 지원대상 : 광주 거주하는 만 19~39세 미취업청년, 기준 중위소득 150% 이하 가구원(건강보험료 기준)○ 지원내용 - 월 50만원, 5개월간 최대 250만원 지원 - 구직역량강화 프로그램 지원",http://dream2030.co.kr,○ 온라인 신청 - 청년드림수당 사이트 : http://dream2030.co.kr - 신청절차 : 신청 -> 대상자 선정 -> 구직활동계획서에 따른 구직활동 이행시 구직수당 지급 및 프로그램 지원,,,대상자 선정 공고 접수 기간 ,"1. 지원신청서 1부, 2. 개인정보 수집이용제공 및 고유식별정보 처리에 관한 동의서 1부, 3. 주민등록표 등본 1부, 4. 건강보험 자격확인(통보)서 1부, 5. 가입자 건강보험료 납부확인서 1부, 6. 신청자 고용보험 자격이력내역서(상용) 1부, 7. 최종학교 졸업증명서 또는 제적증명서 1부, 8.구직활동계획서 1부9.. 추가 증빙서류 : 가족관계증명서 1부, 근로계약서 1부.",광역시도,광주광역시,청년정책관,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,기타,표출
629000000000 ,수혜적,국고보조사업,청년 13(일+삶)통장 지원,,없음,없음,[조례]광주광역시 청년기본조례(제16조),"○ 광주광역시 주민등록 만19세~39세○ 세전 월소득 723,368원~2,493,470원 근로청년(※소득기준 매년 변동)",해당없음,○ 지원대상 : 만 19세~39세 저임금 근로 청년○ 지원내용 - 월 10만원 10개월 저축시 100만원 지원금 지급(만기금액 200만원) - 단계별 금융역량강화 프로그램 지원,https://www.13account.or.kr,○ 온라인 신청  - 청년금융복지지원센터 : https://www.13account.or.kr (연1회 선정),2023-01-31,2023-02-14,없음,해당없음,광역시도,광주광역시,청년정책관,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
629000000000 ,수혜적,국고보조사업,소상공인 자영사업자(골목상권) 특례보증,,없음,없음,"[조례]광주광역시 소상공인 지원 조례(제8조, 제1항)","○ 광주 소재 소기업, 소상공인",해당없음,"○ 지원대상 : 광주소재 소기업, 소상공인○ 자금규모 : 1400억원○ 지원내용 : 30백만원 한도, 1년거치 2,4년 분할상환      - 대출일로부터 1년간 이자(3~4%) 지원○ 대출취급 은행 : 광주은행,  국민은행, 농협은행, 신한은행, 우리은행, 하나은행, 농협중앙회, 새마을금고, 신협중앙회",,○ 방문 신청 - 기타 : 광주신용보증재단○ 기타 - 전화 : 062-950-0011,,,없음,해당없음,광역시도,광주광역시,경제정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금(융자),표출
629000000000 ,수혜적,국고보조사업,한부모가족 가사서비스지원,,[법률]한부모가족지원법(제17조의3),없음,없음,"○ 광주광역시 거주 중위소득 120%이하 한부모가족으로 아래요건 모두 충족 - 만18세 이하 자녀가 있는 가정 - 한부모가 경제활동 또는 학업중이거나, 질병 또는 장애가 있는 가정",해당없음,"○ 저소득 한부모가족에 가사서비스 이용요금 일부지원 - 주 1회, 회당 4.5만원 이내, 연간 160만원 이내",https://gjnamgu.familynet.or.kr/center/lay1/program,"○ 이메일, 우편,팩스 - 문의 : 남구 건강가정다문화가족 지원센터(070-4204-6314)",,,없음," 공통제출서류: 신청서, 개인정보 동의서, 주민등록등본 한부모가족 증빙서류(택1): 한부모가족증명서, 혼인관계증명서(상세) 소득증빙서류(택1): 수급자증명서, 건강보험료 납부확인서(직전 3개월분) 경제/학업, 질병/장애(택1): 재직증명서, 재학증명서, 수강증, 진단서, 장애복지카드 등",광역시도,광주광역시,여성가족과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,서비스(돌봄),표출
629000000000 ,수혜적,국고보조사업,장애인임산부산전검진및산후관리비용지원,,[법률]장애인복지법(제9조),없음,없음,○ 광주광역시 거주 장애인 임산부  - 장애인복지법 제2조에 따른 장애인으로 같은법 제32조에 따라 등록한 장애인이 임신한 경우 - 출산일 기준 주민등록상 6개월 이상 거주자,해당없음,"○ 장애인임산부 산전검진비 지원 - 임신진단부터 출산 전일까지의 의료비 본인부담금 지원(정부지원 단태아:100만원, 다태아:140만원 초과분에 대한 한도액 범위 내) - 금액 : 장애정도가 심하지 않은 장애인 50만원 한도, 장애정도가 심한 장애인 100만원 한도 내○ 장애인임산부 산후관리 비용 지원 - '산모신생아 건강관리 지원사업' 정부지원액 외 본인부담금 일부(총서비스 비용의 10%를 제외한 본인부담금) 비용 지원",,○ 방문 신청 - 보건소 : 관할 보건소 방문,,,없음,해당없음,광역시도,광주광역시,건강정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,서비스(의료),표출
629000000000 ,수혜적,국고보조사업,청년교통수당 드림사업,,없음,없음,[조례]광주광역시 청년기본조례(제13조),○ 광주 거주하는 만19~34세 미취업 청년 중 기준 중위소득(건강보험료 기준) 150% 이하 가구원,해당없음,"○ 지원대상 : 광주 거주하는 만 19~34세 미취업청년, 기준 중위소득 150% 이하 가구원(건강보험료 기준)○ 지원내용 : 교통카드 30만원 지급(일시불, 충전용)",https://www.gjdream.kr,- 청년교통수당드림 홈페이지 : https://www.gjdream.kr  - 신청절차 : 신청 -> 대상자 선정 -> 교통카드 지급,,,2023년 8월중,해당없음,광역시도,광주광역시,청년정책관,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현물,표출
629000000000 ,수혜적,국고보조사업,저소득시민건강보험료지원,,없음,없음,[조례]광주광역시 저소득시민 국민건강보험료 및 장기요양보험료 지원에 관한 조례,○ 국민건강보험료와 장기요양보험료 광주광역시 지역가입자로서 「국민건강보험법」에 따른 보험료 부과금액이 월 1만원 미만 세대 중 다음 각 호의 어느 하나에 해당하는 세대 - 만 65세 이상 노인이 있는 세대 - 등록 장애인이 있는 세대 - 한부모가족지원법에 따른 지원 세대 - 소년소녀가장 세대,해당없음,"○  건강보험 지역가입자 중 보험료가 1만원 미만이면서 다음에 해당하는 세대 -  65세 이상 노인, 한부모가족, 장애인에게 건강보험료 및 장기요양보험료를 지원",,○ 별도 신청 불요(선정기준에 의하여 건강보험공단 및 자치구 매월 대상자 확정),,,없음,별도서류 불필요,광역시도,광주광역시,돌봄정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금(감면)||현금(보험),표출
629000000000 ,수혜적,국고보조사업,노인사회활동지원(순시비),,[법률]노인복지법(제23조),없음,없음,○ 만 65세이상 기초연금수급자(일부 만 60세 이상 가능)    * 보건복지부 노인일자리 및 사회활동 지원 사업과 중복 불가,해당없음,"○ 사업목적 : 활기차고 건강한 노후생활을 영위할 수 있도록 다양한 일자리 및 사회활동 지원하여 노인복지 향상에 기여○ 사업내용 : 자기만족과 성취감 향상 및 지역사회 공익증진을 위해 참여하는 지역맞춤형 봉사활동 및 일자리 지원○ 사업대상 : 만 65세 이상 기초연금수급자(일부 만 60세 이상 가능)   - 참여자활동비 지원(월 27만원 이내)   - 근무조건 : 평균 10개월(사업별 상이), 월 30시간 이내(일 3~4시간)",,○ 방문 신청 - 5개 자치구 시니어클럽,,,없음,"○ 노인일자리 참여신청서 ○ 개인정보 수집, 이용 제공 동의서○ 주민등록등본 1통",광역시도,광주광역시,고령사회정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,서비스(일자리),표출
629000000000 ,수혜적,국고보조사업,학자금대출 신용유의자 신용회복 지원,,없음,없음,[조례]광주광역시 청년기본조례(제16조),○ 광주광역시 주민등록 만19세~39세○ 한국장학재단 학자금대출 상환의무자 중 장기연체로 인해 신용도 판단정보 등록된 자,해당없음,"○ 지원대상 : 한국장학재단 학자금대출 장기연체로 신용도판단정보 등록된 만 19세~39세 청년○ 지원내용 : 한국장학재단 학자금대출 분할상환약정 체결 및 초입금(약정금액의 5%, 최대 100만원)",,gjyouth@korea.kr,,,없음,?,광역시도,광주광역시,청년정책관,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금(융자),표출
629000000000 ,수혜적,국고보조사업,청각장애인 인공달팽이관 수술 지원,,[법률]장애인복지법(제18조),없음,없음,○ 광주광역시 거주하는 중위소득(건강보험기준) 120% 이하 가구 청각장애인,해당없음,○ 기준중위소득(건강보험기준) 120% 이하 가구 청각장애인에게 인공달팽이관 수술비(500만원) 또는 재활치료비(300만원) 지원,,○ 방문 신청 - 관할 행정복지센터 또는 구청 방문,,,없음,"인공달팽이관 수술 및 재활지원 신청서(필수)수술시)수술가능확인서(필수)재활시) 재활치료 계획서(필수)개인정보수집,이용동의서(필수)",광역시도,광주광역시,장애인복지과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,서비스(의료),표출
630000000000 ,수혜적,국고보조사업,양봉농가 경영안정 및 장비 지원,,[대통령령]양봉산업의 육성 및 지원에 관한 법률 시행령,없음,[조례]대전광역시 농업ㆍ농촌 및 식품산업 지원 조례(제4조),"○ (`22년도) 대전광역시민 중 양봉등록농가     (`23년도) 양봉등록지 기준 지원 / 다만, 자치구별 여건에 맞게 지원     (`24년도~) 양봉등록지 기준으로만 지원",해당없음,"○ 양봉사육농가 화분, 사료(설탕), 개량벌통 구입 비용 일부 지원 - 시 30%, 구 30%, 자담 40%",,○ 방문 신청 - 시군구 : 관할 자치구 축산부서에 방문하여 신청서 제출,,,없음,"사업신청서, 사업계획서, 전자세금계산서, 통장사본 등",광역시도,대전광역시,농생명정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,공동이용농기계지원,,[법률]농업기계화 촉진법,없음,없음,"○ 작목반, 지역농협, 마을단위 등 농기계 공동이용조직",해당없음,"○ 사업내용 : 농기계 구입비 일부 지원○ 사업대상 : 자기의 계산과 책임으로 농업을 경영하는 농가들로 구성된 작목반, 지역농협, 마을단위 등 농기계 공동이용조직",,○ 방문 신청 - 시군구 : 소재지 자치구 농정부서 문의 및 방문,,,없음,해당없음,광역시도,대전광역시,농생명정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,한우 브랜드 육성 지원,,[법률]축산법(제3조),없음,[조례]대전광역시 농업ㆍ농촌 및 식품산업 지원 조례(제4조),○ 한우 사육농가,해당없음,"○ 한우 사육농가 중 토바우에 가입한 농가를 대상으로 사료의 일부 비용 지원  - 사업량 34,838포 / 시비 25%, 자부담 75%",,○ 방문신청: 대전축협에 사업신청,,,없음,해당없음,광역시도,대전광역시,농생명정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,입양축하금 지원,,[법률]입양특례법(제35조),없음,[조례]대전광역시 입양가정 지원 조례,○ 입양특례법상 허가를 받은 입양기관에 의해 입양특례법의 요건과 절차를 갖추어 장애아동을 국내 입양한 가정,해당없음,○ 입양대상아동에게 입양축하금 200만원 지원,,○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문 신청,,,없음,해당없음,광역시도,대전광역시,아동보육과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,보호종료아동 자립정착금 지원,,[법률]아동복지법,없음,없음,"○ 시설(양육, 그룹홈)퇴소 및 가정위탁종결 등의 사유로 발생한 보호종료아동",해당없음,○ 만 18세 이후 보호종료아동에게 1500만원 지급(2년에 걸쳐 지급),http://www.bokjiro.go.kr,○ 방문 신청 - (1차 지급)시군구 : 이메일 또는 사회보장정보시스템 - (2차 지급) 자립지원전담기관: 사용계획서 제출 및 의무교육 이수필수,,,없음,해당없음,광역시도,대전광역시,아동보육과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,보호대상아동 심성관리비 지원,,[법률]아동복지법||[법률]아동복지법(제59조),없음,없음,"○ 가정위탁아동 및 아동복지시설 입소 아동 중, 초.중.고 재학생",해당없음,"○ 아동복지시설 보호아동, 가정위탁아동을 대상으로 매월 심성관리비(현금) 지원",,○ 개인 신청절차 없음 - 별도신청 불요,,,없음,해당없음,광역시도,대전광역시,아동보육과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,장애인연금지원(추가),,[법률]장애인복지법,없음,없음,"○ 생계, 의료 수급자 중 중증 장애인",해당없음,"○ 장애인 연금 지급자 중 수급자(생계, 의료) 중증 장애인 대상 추가 지원",,신청 불필요,,,신청불요,해당없음,광역시도,대전광역시,장애인복지과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,노인장기요양 의료급여부담금 지원,,[법률]노인복지법,없음,없음,"○ 노인장기요양등급 인정자 중 기초, 의료급여수급권자",해당없음,○ 노인장기요양 등급 인정자 중 기초수급권자 및 기타 의료급여수급권자에 대한 장기요양보험비용 지원,,○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문하여 신청 - 시군구 : 관할 구청 방문,,,없음,해당없음,광역시도,대전광역시,노인복지과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금(보험),표출
630000000000 ,수혜적,국고보조사업,육아프로젝트 예방접종비 지원,,[법률]감염병의 예방 및 관리에 관한 법률,없음,없음,"○ 셋째아 이상, 다태아 대상",해당없음,○ 로타바이러스 접종비 지원,,○ 방문 신청 - 보건소 : 관할 보건소 방문하여 증빙서류 제출,,,없음,해당없음,광역시도,대전광역시,감염병관리과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,대전광역시 청년 전세보증금반환보증 보증료지원,,[법률]청년기본법(제20조),없음,없음,"○ '23.1.1. 이후 주택도시보증공사(HUG), 한국주택금융공사(HF), 서울보증보험(SGI) 전세금반환보증에 가입한 임차보증금 3억원 이하, 연소득 5천만원(신혼부부 7천만원) 이하인 18~39세 무주택 청년   - 신혼부부 : 신청일 기준 혼인신고일이 7년 이내인 경우   - 지원제외대상     · 「민간임대주택에 관한 특별법」에 따른 등록임대사업자의 임대주택에 거주하는 임차인    · 임차인이 법인인 경우(회사 지원 숙소 등)    · 그 밖에 해당 지자체장이 지원이 적합하지 않다고 판단하는 경우",해당없음,"○ 사업목적 : 최근 전세피해가 급증함에 따라 사회초년생 등 청년층에 반환보증 보증료를 지원, 전세피해 예방 ○ 지원대상 : ’23.1.1.이후 주택도시보증공사(HUG), 한국주택금융공사(HF), 서울보증보험(SGI) 전세보증금반환보증에 가입한 임차보증금 3억원 이하, 연소득 5천만원(신혼부부 7천만원)인 18~39세 무주택 청년     * 신혼부부 : 신청일 기준 혼인신고일이 7년 이내인 경우   - 지원제외대상   ① 「민간임대주택에 관한 특별법」에 따른 등록임대사업자의 임대주택에 거주하는 임차인   ② 임차인이 법인인 경우(회사 지원 숙소 등)   ③ 그 밖에 해당 지자체장이 지원이 적합하지 않다고 판단하는 경우 ○ 지원내용 : 신청인이 기 납부한 전세보증금반환보증 보증료에 대해 전부 또는 일부(최대 30만원)를 환급방식으로 신청인 본인 계좌로 이체 ○ 신청기간 : ’23.7.26.(수) ~ 예산 소진 시까지 ○ 신청방법 : 온라인 신청(정부24) 또는 방문신청   - 온라인 신청 : 정부24 홈페이지(www.gov.kr) 접속 → 상단 보조금24 메뉴 ‘전체혜택’ 클릭 → ‘전세보증금’ 검색 → (대전광역시) 대전광역시 청년 전세보증금반환보증 보증료 지원 클릭(본인인증) 후 신청서 작성   - 방문 신청 : 관할 주민센터 방문 후 신청서 작성 및 관련 서류 제출",,"○ 온라인 신청 : 정부24(보조금24) 온라인 신청(회원가입 또는 본인인증절차 필요)   - 정부24 통해 신청서 작성(신청인 정보, 자격요건, 유의사항) 및 구비서류 첨부    ※ 모든 자료는 발급원본·자필작성본을 저장·스캔촬영(PDF·JPG파일) 후 시스템 내 첨부   - 대전시 홈페이지_ 모집공고문 내 (붙임) 서약서 출력하여 신청자 본인 서명 후 정부 24 업로드 및 신청https://www.daejeon.go.kr/drh/drhGosiView.dogosigbn=A&sno=43628&menuSeq=1908&pageIndex=1&conifmstdt=2023-01-01&conifmenddt=2023-12-31&title= ○  방문 신청 : 관할 주민센터 방문하여 신청서 작성 및 관련 서류 제출",,,2023-07-26 ~ 2023-12-31,"○ (방문신청 시) 본인확인 가능한 신분증 지참 ○ (방문신청 시) 전세보증금반환보증 보증료 지원 신청서    - (온라인 신청시) 시스템 내 작성 ○ 서약서  * 대전시 홈페이지_모집공고문 (붙임) 서약서 서식 출력 후 신청자 본인 서명 후 정부24 업로드 및 신청https://www.daejeon.go.kr/drh/drhGosiView.dogosigbn=A&sno=43628&menuSeq=1908&pageIndex=1&conifmstdt=2023-01-01&conifmenddt=2023-12-31&title=○ 전세보증금반환보증 보증증서, 보증료 납부 증빙서류 ○ 임대차계약서, 부동산 등기사항 전부증명서 ○ 주민등록등본, 혼인관계증명서   - 미혼자의 경우에도 혼인관계증명서 제출 필요 ○ 본인명의 통장 사본 ○ 전년도 소득금액증명(국세청 발급)   - 소득이 발생하지 않아 소득금액증명이 발급되지 않는 경우에는 ‘사실증명원(신고사실없음, 국세청 발급)’ 제출   - 기혼자는 배우자의 소득증빙 서류 필수 제출",광역시도,대전광역시,청년정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,구직청년 면접용 정장 무료 대여,면접정장 비용 절감으로 성공적인 취업을 지원사업,없음,없음,[조례]대전광역시 청년 기본 조례,"지원대상: 대전시에 주민등록 주소를 둔 18~39세 미취업 청년지원규모: 총 800회 지원 (1인 연 3회, 1회 당 2박3일)신청방법: 대전청년포털(https://www.daejeonyouthportal.kr) / 검색창에 구직청년 검색",해당없음,"청년 구직자 면접용 정장 무료 대여 - 지원대상: 대전시에 주민등록 주소를 둔 18~39세 미취업 청년- 지원규모: 총 800회 지원 (1인 연 3회, 1회 당 2박3일)- 신청방법: 대전청년포털(https://www.daejeonyouthportal.kr) / 검색창에 구직청년 검색",https://www.daejeonyouthportal.kr,1. 관련서류 준비   - 주민등록등본 또는 초본(민원 24(https://www.gov.kr/) 또는 가까운 행정복지센터) 1부.   - 고용보험 자격이력 내역서 (근로복지공단 https://total.comwel.or.kr/) 1부.   - 면접증명 1부.2. 파일 변환   - PDF 또는 JPG (PDF변환시 암호가 들어가지 않도록 주의)3. 대전청년포털 접속 후 신청   가. 대전청년포털(https://www.daejeonyouthportal.kr) 접속   나. 검색창에 구직청년 면접정장 검색   다. 구직청년 면접정장(페이지) 접속   라. 하단의 신청하기 클릭   마. 신청(파일 업로드 포함)* 필요시 회원가입,2023-01-01,2023-08-31,없음,"면접 증빙  1부. 주민등록 등본 또는 초본(정부24(https://www.gov.kr/), 가까운 행정복지센터) 1부.고용보험 자격이력 내역서(근로복지공단(https://total.comwel.or.kr/)) 1부.",광역시도,대전광역시,청년정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,이용권||기타,표출
630000000000 ,수혜적,국고보조사업,대전형 난임부부 지원(난임부부시술비 지원 확대),"인공수정 및 체외수정(신선배아, 동결배아)과 같은 국민건강보험 급여가 적용된 보조생식술을 받는 난임부부 중 기준중위소득 180%초과 난임가정에게 본인부담 및 비급여 3종(배아동결비, 유산방지제, 착상보조제) 비용 일부를 보충적으로 지원, 난임시술비 최대지원금액의 연령 차등기준을 폐지 지원하여 난임가정의 경제적 부담 경감(2024.1.1.부터 시행)",[법률]모자보건법(제11조),없음,없음,"○ 지원신청 자격 : 아래 기준을 모두 충족하는자 - 신청일 기준 대전광역시에  주민등록상 주소지를 둔 난임여성 - 난임시술을 요하는 의사의 '난임진단서' 제출자 - 법적 혼인상태에 있거나, 신청일 기준 최근 1년 이상 사실상 혼인관계를 유지하였다고 관할 보건소로부터 확인된 난임부부 - 부부 중 최소한 한 명은 주민등록이 되어 있는 대한민국 국적 소유자(주민등록 말소자, 재외국민 주민등록자는 대상에서 제외)이면서, 부부 모두 건강보험 가입 및 보험료 고지 여부가 확인되는 자",해당없음,"○ 지원범위 : 체외수정(신선 배아, 동결배아), 인공수정 시술비 중 일부 본인부담금, 전액 본인부담금 및 비급여 3종(배아동결비, 유산방지제, 착상보조제)○ 지원금액 : 연령과 상관없이 최대 지원금액 동일 - 만 44세 이하(신선배아 9회까지 1회당 최대 110만원, 동결배아 7회까지 1회당 최대 50만원, 인공수정 5회까지 1회당 최대 30만원) - 만 44세 초과(신선배아 9회까지 1회당 최대 110만원, 동결배아 7회까지 1회당 최대 50만원, 인공수정 5회까지 1회당 최대 30만원) ○ 지원횟수 : 신선배아 9회, 동결배아 7회, 인공수정 5회(단, 건강보험 횟수 적용되는 시술에 대해 지원)",https://www.e-health.go.kr,"주소지 관할 보건소에 방문하거나 온라인으로 신청온라인신청시 e보건소 난임부부시술비지원신청과 동일함(민원서비스>온라인보건서비스>의료비 지원>난임부부시술비지원신청) * 신청자격, 선정기준 등 제출서류가 지원기준에 적합한 경우 지원결정통지서를 발급 (지원결정통지서의 유효기간은 발급일로부터 3개월 이내이며, 매 회차시마다 지원신청 및 지원신청일 접수일 기준 신청자격 및 선정기준에 적합하여햐 함)",,,없음,"① 난임 진단서 1부 <서식 2, 3>  * 난임 진단서는 1차 신청 시 제출한 내용을 최종 지원 시까지 갈음함  * 사실혼 부부의 경우, 난임진단서 없이 신청 가능② 부부 모두의 건강보험증 사본 또는 건강보험자격확인서 1부씩③ 신청일 기준 전월 건강보험료 납부확인서의 고지금액 또는 급여명세서 1부④ 주민등록등본 1부(단, 부부 또는 직계비속이 별도의 주민등록지에 거주하고 있는 경우 가족관계증명서 1부 제출)⑤ 사업자등록증명원(맞벌이 부부 중 자영업일 경우)  * 부부가 모두 자영업일 경우, 맞벌이 부부 모두의 사업자등록증명원 제출 또는 공동 사업자로 등록되어 있어야 함※ ②~⑤의 경우 전자정부법에 따라 행정정보의 공동이용을 통한 확인에 동의한 경우는 제출 생략⑥ 위촉증명서, 계약서 사본 및 계약이행확인서(프리랜서 등) 등 현재 근무하고 있다는 사실을 증명할 수 있는 서류 1부(맞벌이 부부 중 학원 강사, 프리랜서 등 근로소득을 적용받지 않는 사람으로 건강보험 지역가입자인 경우)⑦ 신청일 기준 1개월 이상 휴직자의 경우 휴직증명서  * 육아휴직의 경우 육아휴직임을 명시한 휴직증명서 또는 휴직 확인이 가능한 재직증명서 필요  * 휴직증명서는 휴직여부 및 휴직기간을 확인할 수 있는 공문서로 대체 가능(무급 또는 유급 휴직 여부를 명시한 소속기관의 재직증명서, 기관에서 발행한 확인증명서 등)   * 산재 휴직인 경우 근로복지공단에서 발급된 요양보험 결정 통지서로 대체 가능⑧ 신청일 기준 1개월 이상 유급 휴직자의 경우 급여명세서⑨ 사실상 혼인관계인 경우  당사자 시술동의서 <서식 10>  주민등록등본* 및 가족관계등록부 당사자별 각 1부  * 전자정부법에 따라 행정정보의 공동이용을 통한 확인에 동의한 경우는 제출 생략  1년 이상 사실상 혼인관계를 증명할 수 있는 공문서 1부(해당 공문서가 없는 경우 사실혼 확인보증서<서식 11> 및 보증인 신분증 사본 각 1부)  * 주민등록등본상 동일 거주지에 1년 이상 동거한 기록이 있는 경우 제출 생략 가능  * 행정심판위원회, 보훈심사위원회, 범죄피해구조심의회, 의사상자심의위원회, 법원 판결문 등 정부기관에서 사실혼으로 인정한 공문서로서 반드시 1년 이상의 사실상 혼인관계 기간을 확인할 수 있어야 함  * 공문서 제출을 우선으로 받되, 해당 공문서가 없는 경우에 한해 사실혼 확인보증서를 징구(이 경우 보증인의 신분증 사본을 추가 징구)  * 사실혼 확인보증인은 반드시 내국인 성년자이어야 함(외국인 및 미성년자 불가능)  * 해외에서의 혼인신고 증빙서류는 인정하지 않음  1년 이상 체류를 증빙할 수 있는 외국인등록사실증명, 국내거소신고사실증명 중 1부(당사자가 외국인인 경우에 한함)  * 상기 서류 외에 1년 이상 체류를 추가 증빙하려는 경우 출입국기록을 추가 제출할 수 있음",광역시도,대전광역시,건강보건과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금||서비스(의료),표출
630000000000 ,수혜적,국고보조사업,수급자 및 시설생활자 위문,,[법률]국민기초생활 보장법,없음,없음,"○ 국민기초생활보장 수급자(생계급여, 의료급여), 시설생활자",해당없음,"○ 각 명절(설,추석)에 기초생활수급자(세대별 상품권 2만원), 시설생활자(쇠고기, 과일 등) 지원",,○ 개인 신청절차 없음,,,신청 불필요,해당없음,광역시도,대전광역시,복지정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현물,표출
630000000000 ,수혜적,국고보조사업,노인건강진단비지원,,[법률]노인복지법,없음,없음,○ 만 65세 이상 의료급여 수급권자 중 노인건강진단 희망자,해당없음,○ 만 65세 이상 의료급여 수급권자 중 노인건강진단 희망자에게 건강진단비 지원,,○ 방문 신청 - 주민센터 : 주소지 관할 읍면동 주민센터에 방문하여 신청,,,없음,해당없음,광역시도,대전광역시,노인복지과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
630000000000 ,수혜적,국고보조사업,소상공인 창업박람회 개최 지원,,없음,없음,[조례]대전광역시 소상공인 지원에 관한 조례(제6조),○예비(재)창업자○소상공인,해당없음,"○예비(재) 창업자들에게 다양한 창업아이템과 창업프로그램 제공  - 창업 트렌드를 반영한 다양한 전시관 부스 구성으로 지역 소상공인들에게 시장동향 파악 기회 제공  - 경영컨설팅, 창업절차, 상권분석, 금융 및 자금지원 등 다양한 창업관련 컨설팅 제공○지역 소상공인들에게 자사 홍보의 기회 제공  - 지역 본사 프랜차이즈 업체 및 지역 소상공인들의 참여 독려",,○이메일 신청: sbc@djbea.or.kr / 대전비즈(https://www.djbea.or.kr/biz/index.do)에서 신청서 다운로드 후 이메일 발송,,,없음,해당없음,광역시도,대전광역시,소상공정책과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,기타(상담)||기타,표출
630000000000 ,수혜적,국고보조사업,한부모가족 지원,,[법률]한부모가족지원법,없음,없음,○ 소득인정액 기준 중위소득 60% 이하 세대,해당없음,"○ 월동비 지원 : 저소득 한부모가구당 연 22만원 지원○ 가족문화체험 활동비 지원 : 저소득 한부모가정의 부 또는 모와 자녀 대상 1인당 연 12만원 지원 / (각 자치구별 자율 운영)○ 고등학생 자녀교육비 지원 - 저소득 한부모가족 자녀 중 고등학교 학생 입학금, 수업료 등 지원   ㆍ무상교육 예외학교만 지원○ 초중고 입학생 교구교재비 지원 : 저소득 한부모가족 자녀 중 초중고 입학생 대상 1인당 연 5만원 지원",,○ 방문 신청 - 동행정복지센터 : 거주지 관할 동 행정복지센터에 방문하여 신청서 제출,,,없음,해당없음,광역시도,대전광역시,여성가족청소년과,없음,해당없음 ,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,현금,표출
